"dateTime","dataTraffic"
"2020-02-25T12:00:39.380Z","27742.0"
"2020-02-25T12:00:39.490Z","146.0"
"2020-02-25T12:00:39.490Z","464.0"
"2020-02-25T12:00:39.490Z","3993.0"
"2020-02-25T12:00:39.500Z","10109.0"
"2020-02-25T12:00:40.110Z","152.0"
"2020-02-25T12:00:40.110Z","152.0"
"2020-02-25T12:00:40.240Z","132.0"
"2020-02-25T12:00:40.250Z","676.0"
"2020-02-25T12:00:40.260Z","2991.0"
"2020-02-25T12:00:40.270Z","13459.0"
"2020-02-25T12:00:44.760Z","186.0"
"2020-02-25T12:00:44.760Z","995.0"
"2020-02-25T12:00:44.770Z","2969.0"
"2020-02-25T12:00:44.770Z","2528.0"
"2020-02-25T12:00:47.480Z","120.0"
"2020-02-25T12:00:47.490Z","384.0"
"2020-02-25T12:00:47.490Z","4750.0"
"2020-02-25T12:00:47.490Z","105564.0"
"2020-02-25T12:00:47.500Z","688404.0"
"2020-02-25T12:00:47.530Z","2254.0"
"2020-02-25T12:00:47.570Z","2814.0"
"2020-02-25T12:00:47.570Z","7610.0"
"2020-02-25T12:00:47.600Z","1409.0"
"2020-02-25T12:00:47.610Z","3288.0"
"2020-02-25T12:00:47.630Z","200.0"
"2020-02-25T12:00:47.720Z","994.0"
"2020-02-25T12:00:47.730Z","2090.0"
"2020-02-25T12:00:47.810Z","8139.0"
"2020-02-25T12:00:47.860Z","116.0"
"2020-02-25T12:00:47.860Z","606.0"
"2020-02-25T12:00:47.860Z","2760.0"
"2020-02-25T12:00:47.870Z","689.0"
"2020-02-25T12:00:47.870Z","5380.0"
"2020-02-25T12:00:47.870Z","12867.0"
"2020-02-25T12:00:47.880Z","124.0"
"2020-02-25T12:00:47.880Z","116.0"
"2020-02-25T12:00:47.880Z","580.0"
"2020-02-25T12:00:47.880Z","508.0"
"2020-02-25T12:00:47.880Z","2145.0"
"2020-02-25T12:00:47.890Z","1949.0"
"2020-02-25T12:00:47.890Z","8094.0"
"2020-02-25T12:00:47.910Z","23116.0"
"2020-02-25T12:00:47.930Z","126.0"
"2020-02-25T12:00:47.970Z","1054.0"
"2020-02-25T12:00:47.970Z","168.0"
"2020-02-25T12:00:47.970Z","120.0"
"2020-02-25T12:00:47.970Z","4409.0"
"2020-02-25T12:00:47.980Z","114813.0"
"2020-02-25T12:00:47.990Z","134.0"
"2020-02-25T12:00:48.10Z","454.0"
"2020-02-25T12:00:48.10Z","2843.0"
"2020-02-25T12:00:48.40Z","86885.0"
"2020-02-25T12:00:48.100Z","126.0"
"2020-02-25T12:00:48.120Z","1054.0"
"2020-02-25T12:00:48.120Z","168.0"
"2020-02-25T12:00:48.120Z","120.0"
"2020-02-25T12:00:48.130Z","4708.0"
"2020-02-25T12:00:48.140Z","116624.0"
"2020-02-25T12:00:48.270Z","7737.0"
"2020-02-25T12:00:48.290Z","7758.0"
"2020-02-25T12:00:48.360Z","65330.0"
"2020-02-25T12:00:48.430Z","20303.0"
"2020-02-25T12:00:48.610Z","184822.0"
"2020-02-25T12:00:48.620Z","68652.0"
"2020-02-25T12:00:48.640Z","161028.0"
"2020-02-25T12:00:48.650Z","69821.0"
"2020-02-25T12:00:48.650Z","83722.0"
"2020-02-25T12:00:48.670Z","30827.0"
"2020-02-25T12:00:48.670Z","426882.0"
"2020-02-25T12:00:48.680Z","47472.0"
"2020-02-25T12:00:48.680Z","1468006.4"
"2020-02-25T12:00:48.680Z","72229.0"
"2020-02-25T12:00:48.790Z","148.0"
"2020-02-25T12:00:48.820Z","936.0"
"2020-02-25T12:00:48.830Z","120.0"
"2020-02-25T12:00:48.830Z","3013.0"
"2020-02-25T12:00:48.840Z","384.0"
"2020-02-25T12:00:48.840Z","4776.0"
"2020-02-25T12:00:48.850Z","23293.0"
"2020-02-25T12:00:48.850Z","7548.0"
"2020-02-25T12:00:48.940Z","635.0"
"2020-02-25T12:00:48.990Z","376.0"
"2020-02-25T12:00:49.220Z","2740.0"
"2020-02-25T12:00:49.230Z","8144.0"
"2020-02-25T12:00:49.700Z","300.0"
"2020-02-25T12:00:49.780Z","1070.0"
"2020-02-25T12:00:49.780Z","338.0"
"2020-02-25T12:00:49.780Z","797.0"
"2020-02-25T12:00:49.780Z","1748.0"
"2020-02-25T12:00:49.800Z","5608.0"
"2020-02-25T12:00:49.890Z","126.0"
"2020-02-25T12:00:49.890Z","1054.0"
